,binned_BALANCE,binned_PURCHASES,binned_ONEOFF_PURCHASES,binned_INSTALLMENTS_PURCHASES,binned_CASH_ADVANCE,binned_CASH_ADVANCE_TRX,binned_PURCHASES_TRX,binned_CREDIT_LIMIT,binned_PAYMENTS,binned_MINIMUM_PAYMENTS,binned_BALANCE_FREQUENCY,binned_PURCHASES_FREQUENCY,binned_ONEOFF_PURCHASES_FREQUENCY,binned_PURCHASES_INSTALLMENTS_FREQUENCY,binned_CASH_ADVANCE_FREQUENCY,binned_PRC_FULL_PAYMENT,binned_TENURE
0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0
1,4.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,4.0,6.0,5.0,0.0,0.0,0.0,1.0,1.0,7.0
2,4.0,3.0,3.0,0.0,0.0,0.0,2.0,6.0,3.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,7.0
3,4.0,4.0,4.0,0.0,2.0,0.0,0.0,6.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0
4,4.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
5,4.0,3.0,0.0,4.0,0.0,0.0,2.0,4.0,4.0,7.0,5.0,4.0,0.0,3.0,0.0,0.0,7.0
6,3.0,4.0,4.0,3.0,0.0,0.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,7.0
7,4.0,3.0,0.0,3.0,0.0,0.0,2.0,4.0,3.0,6.0,5.0,5.0,0.0,5.0,0.0,0.0,7.0
8,4.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,7.0
9,3.0,3.0,4.0,0.0,0.0,0.0,1.0,6.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,7.0
10,4.0,3.0,0.0,4.0,0.0,0.0,2.0,3.0,3.0,7.0,5.0,5.0,0.0,5.0,0.0,0.0,7.0
11,3.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,7.0
12,4.0,4.0,4.0,3.0,0.0,0.0,3.0,5.0,3.0,6.0,5.0,5.0,1.0,5.0,0.0,1.0,7.0
13,4.0,4.0,3.0,4.0,0.0,0.0,3.0,6.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,7.0
14,4.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
15,5.0,4.0,0.0,4.0,4.0,2.0,2.0,6.0,4.0,7.0,5.0,3.0,0.0,3.0,0.0,0.0,7.0
16,4.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,3.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0
17,2.0,3.0,0.0,3.0,0.0,0.0,2.0,4.0,3.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,7.0
18,4.0,3.0,2.0,3.0,0.0,0.0,2.0,6.0,4.0,6.0,5.0,4.0,0.0,3.0,0.0,0.0,7.0
19,4.0,3.0,0.0,3.0,0.0,0.0,2.0,5.0,3.0,9.0,5.0,5.0,0.0,5.0,0.0,0.0,7.0
20,4.0,2.0,0.0,3.0,0.0,0.0,2.0,4.0,2.0,9.0,5.0,4.0,0.0,4.0,0.0,0.0,7.0
